plot_id,x,y,project_id,Strata
1,-1853280,1557720,3130,99
6,413160,729360,3130,99
11,172350,1749900,3130,99
16,1382460,1265190,3130,99
21,-1325100,1043760,3130,99
26,-1213650,2189100,3130,99
31,-1616220,1402440,3130,99
36,-136590,2414760,3130,99
41,-200670,1199160,3130,99
46,-182400,2602530,3130,99
51,-1095660,1258680,3130,99
56,443760,1533030,3130,99
61,-555660,2708220,3130,99
66,-1837980,2755860,3130,99
71,-877050,1034280,3130,99
76,-1655430,1678590,3130,99
81,892020,1471800,3130,99
86,-261120,2497890,3130,99
91,1443390,1960770,3130,99
96,-2208960,2316780,3130,99
101,-172110,2261430,3130,99
106,968130,1282530,3130,99
111,494790,2111340,3130,99
116,-1247850,1486590,3130,99
121,1511490,1815840,3130,99
126,335070,2405220,3130,99
131,-889590,1745490,3130,99
136,1660620,1459290,3130,99
141,-774360,1732770,3130,99
146,1325820,2019660,3130,99
151,-243780,1501830,3130,99
156,-335880,814530,3130,99
161,41370,1180410,3130,99
166,350940,1804350,3130,99
171,447450,2021460,3130,99
176,749460,1078110,3130,99
181,192150,966210,3130,99
186,120630,2791590,3130,99
191,752670,1657980,3130,99
196,411000,1223820,3130,99
201,-1448250,2252970,3130,99
206,-1574460,1894500,3130,99
211,-57510,839100,3130,99
216,-161910,1826370,3130,99
221,-1341060,2226360,3130,99
226,308760,1296090,3130,99
231,-1184190,2305800,3130,99
236,1496490,1725300,3130,99
241,-436440,1235670,3130,99
246,1041870,1518810,3130,99
251,-1602030,1530510,3130,99
256,-1192320,1852410,3130,99
261,1692810,1676430,3130,99
266,-879720,2339670,3130,99
271,355110,935280,3130,99
276,-1781940,3004920,3130,99
281,576630,2798610,3130,99
286,1784880,1934820,3130,99
291,-350370,2163930,3130,99
296,-494550,2409150,3130,99
301,151710,1131660,3130,99
306,1241400,1074930,3130,99
311,-1714920,2262090,3130,99
316,-1868070,1814520,3130,99
321,-1245690,2198460,3130,99
326,292590,2487840,3130,99
331,-930600,1934190,3130,99
336,-180600,2865780,3130,99
341,1250730,1587240,3130,99
346,733230,1207110,3130,99
351,1590840,1652880,3130,99
356,682020,1228920,3130,99
361,567990,1826040,3130,99
366,199620,2204040,3130,99
371,-845550,1693620,3130,99
376,-642780,2536170,3130,99
381,279630,1274310,3130,99
386,1444740,1811700,3130,99
391,127200,2683260,3130,99
396,-280170,662850,3130,99
401,-1947090,2574930,3130,99
406,-899790,2030250,3130,99
411,-1614240,2214930,3130,99
416,613620,1575240,3130,99
421,-619440,2094090,3130,99
426,-1502250,2655420,3130,99
431,-797370,1137690,3130,99
436,-251220,2824200,3130,99
441,433320,1341210,3130,99
446,222450,822120,3130,99
451,-1639590,1835100,3130,99
456,-501750,1739430,3130,99
461,204240,2743560,3130,99
466,-2098050,2429640,3130,99
471,-81900,1207200,3130,99
476,-1167990,2126370,3130,99
481,-559560,1947480,3130,99
486,-135690,1827780,3130,99
491,456300,1933410,3130,99
